Composto,Picos (cm⁻¹)
Chloroform,"261, 366, 668, 758, 3019"
Cyclohexane,"802, 2853, 2939, 3329, 3411"
Dichloromethane,"285, 703, 2988, 3394, 3419"
Diethyl Malonate,"847, 1115, 1455, 1749, 2941"
Diethylamine,"426, 1455, 2814, 2872, 2926"
Diethylene Glycol,"897, 1280, 1461, 2874, 2944"
Dimethyl Sulfoxide,"669, 2914, 2996, 3396, 3417"
Ethanol,"883, 1454, 2878, 2929, 2974"
Ethyl Acetate,"379, 634, 847, 1737, 2941"
Ethylene Glycol,"865, 1091, 1462, 2880, 2939"
Formic acid,"206, 678, 1398, 1659, 2961"
