"Gene","PC","Loading"
"PTMA","PC1",0.0679946735575528
"COX5B","PC1",0.0675209821115073
"PPP1CB","PC1",0.0608546652065531
"SFPQ","PC1",0.0602697374716676
"UBL5","PC1",0.0601013210972305
"MTCH1","PC1",0.059710722605969
"UBA1","PC1",0.0593226878202261
"SRP9","PC1",0.0590597352224076
"DDX39B","PC1",0.0589545003955588
"CHD4","PC1",0.0586098246602204
"TOMM6","PC1",0.0576439084793013
"PKM","PC1",0.0575012398366219
"OR4S2","PC1",0.057114778027888
"PDCD6","PC1",0.0568697263719703
"CLTA","PC1",0.056862590487188
"TMSB15A","PC2",0.0758837049669153
"FZD7","PC2",0.0727126622460054
"CCDC137","PC2",0.0712011393389884
"DYNC1H1","PC2",0.0701640196096061
"ZDHHC5","PC2",0.0695273469949819
"AKR1B1","PC2",0.0693587445113687
"MCM10","PC2",0.0690447183714616
"EIF4EBP1","PC2",0.068923974962628
"KIF3C","PC2",0.0688756947543565
"NUP107","PC2",0.0687307144869479
"LAMB1","PC2",0.0682326716749859
"STK26","PC2",0.0681461026965194
"SMNDC1","PC2",0.0680996153232211
"CPNE1","PC2",0.0675156031954308
"GPSM2","PC2",0.067181804949
